"GeneSymbol","logFC","Validation_logFC","Degree","Betweenness","Closeness","Priority_Score","Module_Size"
"GBP1",-2.37968650725123,-917.344571428571,26,3680,0.353502258014969,4,53
"XAF1",-1.63553182337438,-793.243928571428,25,24,0.330144340835827,4,53
"IFIT3",-1.64384782685468,-302.895992857143,30,137,0.32992839545304,4,53
"STAT1",-1.48430710789163,-1226.68485714286,58,15687,0.397967411856301,3,53
"IFITM3",-2.19830450521428,-9906.25497142857,17,164,0.334138036946328,3,53
"EPSTI1",-2.00573698205665,-2644.73324285714,22,65,0.320841304745299,3,53
"IFI35",-1.08727889728325,-576.981171428571,30,10848,0.343953588795224,3,53
"PARP9",-1.17217211690887,-923.558514285715,26,596,0.327847260399487,3,53
"IFI6",-1.76425566338547,-687.4113,20,35,0.319448929671714,3,53
"IFIT2",-1.14381419756897,-1661.16414285714,27,240,0.331558505959728,3,53
"IRF7",-1.03183079886699,-687.213585714285,30,3069.5,0.365604736576998,3,53
"IFI44",-1.49588545192365,-1159.72778571429,27,0,0.32523350416377,3,53
"OAS1",-1.14505140114532,-184.395154285714,25,24,0.32083636014652,3,53
"CD40LG",1.67658216560098,21.4332212857143,22,1404,0.340241422833171,3,101
