"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","10/12","445/18860",0.0224719101123595,35.3183520599251,18.4857844968372,3.06277758027866e-15,1.14241603744394e-12,5.48075988049865e-13,"GBP1/IFIT3/STAT1/IFITM3/PARP9/IFI6/IFIT2/IRF7/IFI44/OAS1",10
"GO:0051607","defense response to virus","9/12","334/18860",0.0269461077844311,42.3502994011976,19.2388176684799,3.2322885267391e-14,6.02821810236842e-12,2.89204762918761e-12,"GBP1/IFIT3/STAT1/IFITM3/PARP9/IFI6/IFIT2/IRF7/OAS1",9
"GO:0035456","response to interferon-beta","4/12","37/18860",0.108108108108108,169.90990990991,25.9494936504599,6.13423268845594e-09,7.12616876392856e-07,3.41879127943518e-07,"XAF1/STAT1/IFITM3/OAS1",4
"GO:0140888","interferon-mediated signaling pathway","5/12","121/18860",0.0413223140495868,64.9449035812672,17.805030958488,7.64200403638452e-09,7.12616876392856e-07,3.41879127943518e-07,"STAT1/IFITM3/PARP9/IRF7/OAS1",5
"GO:0032481","positive regulation of type I interferon production","4/12","91/18860",0.043956043956044,69.0842490842491,16.4272209153815,2.43719423264637e-07,1.41776220233856e-05,6.80173767172443e-06,"XAF1/STAT1/IRF7/OAS1",4
"GO:0060337","type I interferon-mediated signaling pathway","4/12","92/18860",0.0434782608695652,68.3333333333333,16.3354968313937,2.54710870886789e-07,1.41776220233856e-05,6.80173767172443e-06,"STAT1/IFITM3/IRF7/OAS1",4
"GO:0071357","cellular response to type I interferon","4/12","93/18860",0.043010752688172,67.5985663082437,16.2452441990446,2.6606797362922e-07,1.41776220233856e-05,6.80173767172443e-06,"STAT1/IFITM3/IRF7/OAS1",4
"GO:0034340","response to type I interferon","4/12","99/18860",0.0404040404040404,63.5016835016835,15.7325325027113,3.42338028552092e-07,1.59615105812413e-05,7.65756116498102e-06,"STAT1/IFITM3/IRF7/OAS1",4
"GO:0034341","response to type II interferon","4/12","129/18860",0.0310077519379845,48.733850129199,13.7264475572501,9.91031320601399e-07,4.10727425093691e-05,1.97047163160512e-05,"GBP1/STAT1/IFITM3/PARP9",4
"GO:0032479","regulation of type I interferon production","4/12","136/18860",0.0294117647058824,46.2254901960784,13.3558255420585,1.2243527659121e-06,4.15166892441103e-05,1.99177004980916e-05,"XAF1/STAT1/IRF7/OAS1",4
